response_id,date,customer_id,score,feedback,touchpoint,customer_segment
1,2025-05-24,C96109,1,Difficult to use.,Email,Consumer
2,2025-04-29,C26025,10,Great value for money.,Support,SMB
3,2025-05-20,C97392,7,Works as expected.,Email,Consumer
4,2025-05-17,C22414,10,Exceeded our expectations.,Mobile App,SMB
5,2025-04-20,C77753,5,Some features could be better.,Email,Consumer
6,2025-05-23,C83858,10,Great value for money.,Website,SMB
7,2025-04-09,C76826,10,Transformative for our operations.,Mobile App,Consumer
8,2025-05-17,C39750,5,Could use some improvements.,Email,Consumer
9,2025-05-04,C85612,9,Best in class solution!,Support,Enterprise
10,2025-04-21,C94997,7,Works as expected.,Email,Enterprise
11,2025-05-25,C77863,4,Not intuitive enough.,Email,Enterprise
12,2025-05-14,C60666,7,Some features could be better.,Mobile App,Enterprise
13,2025-04-16,C72743,9,Very satisfied with the experience.,Mobile App,SMB
14,2025-04-28,C39899,3,Would not recommend.,Website,Consumer
15,2025-05-26,C10956,7,Meets our basic needs.,Support,Consumer
16,2025-05-01,C82987,8,Excellent ROI for our business.,Support,Enterprise
17,2025-04-10,C44028,3,Too many problems.,Website,SMB
18,2025-05-05,C90627,10,Very intuitive interface.,Support,Consumer
19,2025-04-08,C38165,6,Average experience.,Website,Enterprise
20,2025-05-17,C41916,2,Would not recommend.,Email,Consumer
21,2025-05-27,C39905,6,Good but room for improvement.,Email,Enterprise
22,2025-05-19,C23017,6,Could use some improvements.,Support,SMB
23,2025-05-28,C96232,4,Too many problems.,Support,SMB
24,2025-05-09,C48627,2,Difficult to use.,Support,Enterprise
25,2025-05-03,C62986,3,Would not recommend.,Support,Enterprise
26,2025-04-15,C41545,5,Could use some improvements.,Email,Consumer
27,2025-04-20,C32990,7,Good but room for improvement.,Email,SMB
28,2025-04-13,C49493,6,Good product overall.,Email,Enterprise
29,2025-04-19,C55813,7,Some features could be better.,Mobile App,SMB
30,2025-05-30,C84049,1,Would not recommend.,Website,Enterprise
31,2025-04-30,C61819,2,Not intuitive enough.,Website,SMB
32,2025-05-08,C85128,3,Difficult to use.,Email,Enterprise
33,2025-04-20,C83743,6,Average experience.,Website,Consumer
34,2025-05-03,C20638,7,Good product overall.,Email,Consumer
35,2025-04-18,C19769,6,Good but room for improvement.,Website,Enterprise
