Id,Start Time,Completion Time,What from this Webinar,How likely are you to recommend (1-10),How would you describe your level,Please rate your level of satisfaction
1,3/12/2025 10:47,3/12/2025 10:48,the list of questions,3,Advanced,Neutral
2,3/12/2025 10:47,3/12/2025 10:49,The 7 questions and demos,8,Proficient,Very satisfied
3,3/12/2025 10:47,3/12/2025 10:49,question examples,10,Advanced,Very satisfied
4,3/12/2025 10:47,3/12/2025 10:49,Insights about the 7 questions,10,Advanced,Very satisfied
5,3/12/2025 10:47,3/12/2025 10:49,useful tips & tricks,9,Proficient,Satisfied
6,3/12/2025 10:47,3/12/2025 10:49,the 7 questions and 3 ways,9,Advanced,Satisfied
7,3/12/2025 10:47,3/12/2025 10:49,Not to give advice but listen,8,Beginner,Satisfied
8,3/12/2025 10:47,3/12/2025 10:49,The 7 questions,9,Proficient,Very satisfied
9,3/12/2025 10:47,3/12/2025 10:49,smooth delivery,8,Proficient,Very satisfied
10,3/12/2025 10:47,3/12/2025 10:50,summary slide (so I can review),10,Proficient,Very satisfied
11,3/12/2025 10:48,3/12/2025 10:50,7 questions,9,Advanced,Very satisfied
12,3/12/2025 10:48,3/12/2025 10:50,I've taken some more actions,8,Proficient,Satisfied
13,3/12/2025 10:48,3/12/2025 10:50,A clear explanation,9,Proficient,Very satisfied
14,3/12/2025 10:48,3/12/2025 10:50,7 questions,8,Proficient,Very satisfied
