response_id,date,customer_id,score,interaction_type,agent_id,resolution_status,feedback
1,2025-04-07,C10045,5,"Technical Support",A1001,"Resolved","Agent was extremely helpful and knowledgeable"
2,2025-04-07,C20089,3,"Billing Question",A1002,"Resolved","Average service, took longer than expected"
3,2025-04-07,C30121,5,"Product Information",A1003,"Resolved","Very informative and patient"
4,2025-04-07,C40202,4,"Account Issue",A1004,"Resolved","Good service but could be faster"
5,2025-04-08,C50303,2,"Technical Support",A1005,"Unresolved","Problem not fixed, need follow-up"
6,2025-04-08,C60404,5,"Billing Question",A1006,"Resolved","Excellent explanation of charges"
7,2025-04-08,C70505,4,"Product Information",A1007,"Resolved","Good information provided"
8,2025-04-08,C80606,3,"Account Issue",A1008,"Resolved","Average service, some confusion"
9,2025-04-09,C90707,5,"Technical Support",A1009,"Resolved","Outstanding technical knowledge"
10,2025-04-09,C10808,2,"Billing Question",A1010,"Unresolved","Still confused about my bill"
11,2025-04-09,C11909,4,"Product Information",A1011,"Resolved","Good details about features"
12,2025-04-09,C12010,5,"Account Issue",A1012,"Resolved","Quick and efficient service"
13,2025-04-10,C13111,3,"Technical Support",A1013,"Resolved","Problem fixed but took time"
14,2025-04-10,C14212,5,"Billing Question",A1014,"Resolved","Very clear explanation"
15,2025-04-10,C15313,4,"Product Information",A1015,"Resolved","Helpful product comparison"
16,2025-04-10,C16414,1,"Account Issue",A1016,"Unresolved","Complete waste of time"
17,2025-04-11,C17515,5,"Technical Support",A1017,"Resolved","Fantastic troubleshooting"
18,2025-04-11,C18616,4,"Billing Question",A1018,"Resolved","Good explanation of charges"
19,2025-04-11,C19717,3,"Product Information",A1019,"Resolved","Adequate information"
20,2025-04-11,C20818,5,"Account Issue",A1020,"Resolved","Excellent service"
21,2025-04-12,C21919,2,"Technical Support",A1021,"Unresolved","Problem persists after call"
22,2025-04-12,C22020,5,"Billing Question",A1022,"Resolved","Very thorough explanation"
23,2025-04-12,C23121,4,"Product Information",A1023,"Resolved","Good product knowledge"
24,2025-04-12,C24222,3,"Account Issue",A1024,"Resolved","Average service provided"
25,2025-04-13,C25323,5,"Technical Support",A1025,"Resolved","Exceptional technical support"
