response_id,date,customer_id,score,task_type,feedback,time_to_resolution,channel
1,2025-04-07,C10045,6,"Account setup","Process was straightforward",5,"Web Portal"
2,2025-04-07,C20089,4,"Password reset","Had to try multiple times",12,"Mobile App"
3,2025-04-07,C30121,7,"Subscription change","Very easy process",3,"Web Portal"
4,2025-04-07,C40202,2,"Technical support","Took too many steps",45,"Phone"
5,2025-04-08,C50303,5,"Billing inquiry","Average experience",15,"Chat"
6,2025-04-08,C60404,7,"Feature activation","Simple and quick",4,"Web Portal"
7,2025-04-08,C70505,3,"Bug report","Too complicated",30,"Email"
8,2025-04-08,C80606,6,"Account update","Reasonably easy",8,"Mobile App"
9,2025-04-09,C90707,7,"Subscription renewal","Very smooth process",5,"Web Portal"
10,2025-04-09,C10808,1,"Technical support","Extremely difficult",60,"Phone"
11,2025-04-09,C11909,4,"Billing dispute","Several steps required",25,"Email"
12,2025-04-09,C12010,6,"Feature inquiry","Relatively easy",7,"Chat"
13,2025-04-10,C13111,7,"Account setup","Very intuitive",4,"Web Portal"
14,2025-04-10,C14212,2,"Password reset","Confusing process",20,"Phone"
15,2025-04-10,C15313,5,"Subscription change","Somewhat straightforward",10,"Mobile App"
16,2025-04-10,C16414,7,"Technical support","Quick resolution",15,"Chat"
17,2025-04-11,C17515,3,"Billing inquiry","Difficult to find information",35,"Email"
18,2025-04-11,C18616,6,"Feature activation","Fairly simple",6,"Web Portal"
19,2025-04-11,C19717,4,"Bug report","Required too many details",22,"Phone"
20,2025-04-11,C20818,7,"Account update","Easy and quick",5,"Mobile App"
21,2025-04-12,C21919,5,"Subscription renewal","Average difficulty",12,"Web Portal"
22,2025-04-12,C22020,2,"Technical support","Too many steps",50,"Phone"
23,2025-04-12,C23121,6,"Billing dispute","Reasonably straightforward",18,"Email"
24,2025-04-12,C24222,7,"Feature inquiry","Very simple process",3,"Chat"
25,2025-04-13,C25323,4,"Account setup","Some confusion",15,"Web Portal"
26,2025-04-13,C26424,1,"Password reset","Extremely difficult",30,"Phone"
27,2025-04-13,C27525,5,"Subscription change","Average experience",10,"Mobile App"
28,2025-04-13,C28626,7,"Technical support","Very efficient",8,"Chat"
29,2025-04-14,C29727,3,"Billing inquiry","Too many steps",25,"Email"
30,2025-04-14,C30828,6,"Feature activation","Fairly easy",7,"Web Portal"
31,2025-04-14,C31929,4,"Bug report","Somewhat complicated",20,"Phone"
32,2025-04-14,C32030,7,"Account update","Simple and quick",4,"Mobile App"
33,2025-04-15,C33131,5,"Subscription renewal","Standard process",13,"Web Portal"
34,2025-04-15,C34232,2,"Technical support","Very difficult",55,"Phone"
35,2025-04-15,C35333,6,"Billing dispute","Reasonable process",16,"Email"
36,2025-04-15,C36434,7,"Feature inquiry","Easy to complete",5,"Chat"
37,2025-04-16,C37535,4,"Account setup","Several steps required",17,"Web Portal"
38,2025-04-16,C38636,1,"Password reset","Extremely frustrating",35,"Phone"
39,2025-04-16,C39737,5,"Subscription change","Average difficulty",11,"Mobile App"
40,2025-04-16,C40838,7,"Technical support","Very straightforward",9,"Chat"
41,2025-04-17,C41939,3,"Billing inquiry","Process was complex",28,"Email"
42,2025-04-17,C42040,6,"Feature activation","Relatively simple",8,"Web Portal"
43,2025-04-17,C43141,4,"Bug report","Somewhat difficult",21,"Phone"
44,2025-04-17,C44242,7,"Account update","Quick and easy",3,"Mobile App"
45,2025-04-18,C45343,5,"Subscription renewal","Standard experience",14,"Web Portal"
46,2025-04-18,C46444,2,"Technical support","Very complicated",58,"Phone"
47,2025-04-18,C47545,6,"Billing dispute","Fairly straightforward",17,"Email"
48,2025-04-18,C48646,7,"Feature inquiry","Simple process",4,"Chat"
49,2025-04-19,C49747,4,"Account setup","Some confusion",18,"Web Portal"
50,2025-04-19,C50848,1,"Password reset","Extremely difficult",37,"Phone"
51,2025-04-19,C51949,5,"Subscription change","Average process",12,"Mobile App"
52,2025-04-19,C52050,7,"Technical support","Efficient resolution",7,"Chat"
53,2025-04-20,C53151,3,"Billing inquiry","Complicated process",30,"Email"
54,2025-04-20,C54252,6,"Feature activation","Reasonably easy",9,"Web Portal"
55,2025-04-20,C55353,4,"Bug report","Required multiple steps",22,"Phone"
56,2025-04-20,C56454,7,"Account update","Very simple",5,"Mobile App"
57,2025-04-21,C57555,5,"Subscription renewal","Standard difficulty",15,"Web Portal"
58,2025-04-21,C58656,2,"Technical support","Difficult to complete",60,"Phone"
59,2025-04-21,C59757,6,"Billing dispute","Relatively straightforward",19,"Email"
60,2025-04-21,C60858,7,"Feature inquiry","Quick and easy",3,"Chat"
61,2025-04-22,C61959,4,"Account setup","Several steps needed",20,"Web Portal"
62,2025-04-22,C62060,1,"Password reset","Very frustrating",40,"Phone"
63,2025-04-22,C63161,5,"Subscription change","Average experience",13,"Mobile App"
64,2025-04-22,C64262,7,"Technical support","Simple to resolve",8,"Chat"
65,2025-04-23,C65363,3,"Billing inquiry","Too complicated",32,"Email"
66,2025-04-23,C66464,6,"Feature activation","Fairly simple",10,"Web Portal"
67,2025-04-23,C67565,4,"Bug report","Somewhat difficult",23,"Phone"
68,2025-04-23,C68666,7,"Account update","Very straightforward",4,"Mobile App"
69,2025-04-24,C69767,5,"Subscription renewal","Standard process",16,"Web Portal"
70,2025-04-24,C70868,2,"Technical support","Many obstacles",62,"Phone"
71,2025-04-24,C71969,6,"Billing dispute","Reasonably clear",20,"Email"
72,2025-04-24,C72070,7,"Feature inquiry","Easy process",5,"Chat"
73,2025-04-25,C73171,4,"Account setup","Some difficulty",22,"Web Portal"
74,2025-04-25,C74272,1,"Password reset","Extremely difficult",42,"Phone"
75,2025-04-25,C75373,5,"Subscription change","Average difficulty",14,"Mobile App"
76,2025-04-25,C76474,7,"Technical support","Quick resolution",9,"Chat"
77,2025-04-26,C77575,3,"Billing inquiry","Complex process",34,"Email"
78,2025-04-26,C78676,6,"Feature activation","Fairly easy",11,"Web Portal"
79,2025-04-26,C79777,4,"Bug report","Multiple steps required",24,"Phone"
80,2025-04-26,C80878,7,"Account update","Simple and efficient",3,"Mobile App"
81,2025-04-27,C81979,5,"Subscription renewal","Standard experience",17,"Web Portal"
82,2025-04-27,C82080,2,"Technical support","Very complicated",65,"Phone"
83,2025-04-27,C83181,6,"Billing dispute","Relatively clear",21,"Email"
84,2025-04-27,C84282,7,"Feature inquiry","Easy to complete",4,"Chat"
85,2025-04-28,C85383,4,"Account setup","Several confusing steps",23,"Web Portal"
86,2025-04-28,C86484,1,"Password reset","Extremely frustrating",45,"Phone"
87,2025-04-28,C87585,5,"Subscription change","Average process",15,"Mobile App"
88,2025-04-28,C88686,7,"Technical support","Efficient resolution",10,"Chat"
89,2025-04-29,C89787,3,"Billing inquiry","Difficult to navigate",36,"Email"
90,2025-04-29,C90888,6,"Feature activation","Reasonably simple",12,"Web Portal"
91,2025-04-29,C91989,4,"Bug report","Somewhat complicated",25,"Phone"
92,2025-04-29,C92090,7,"Account update","Very straightforward",5,"Mobile App"
93,2025-04-30,C93191,5,"Subscription renewal","Standard difficulty",18,"Web Portal"
94,2025-04-30,C94292,2,"Technical support","Many obstacles",68,"Phone"
95,2025-04-30,C95393,6,"Billing dispute","Fairly clear process",22,"Email"
96,2025-04-30,C96494,7,"Feature inquiry","Simple and quick",3,"Chat"
97,2025-05-01,C97595,4,"Account setup","Some confusion",24,"Web Portal"
98,2025-05-01,C98696,1,"Password reset","Extremely difficult",48,"Phone"
99,2025-05-01,C99797,5,"Subscription change","Average experience",16,"Mobile App"
100,2025-05-01,C10089,7,"Technical support","Very efficient",11,"Chat"
